"id","status","type","severity","area","files","linux_evidence","windows_abdul_status","fix_or_plan","validation","next_action"
"BUG-001","fixed","correctness","high","native numeric convergence","src/backend/headers/newton.hpp; src/backend/headers/intersection.hpp","Linux uses 1e-25 for Newton eps and intersection fudge","Abdul still used 1e-40 and 1e-45 before this pass","Changed both tolerances to 1e-25 and documented why long OSNO inputs need a practical certified interval","gradlew --no-daemon compileJava backendSharedLibrary passed 2026-07-14","Run known long OSNO examples and compare cover/stable output against runtime"
"BUG-002","fixed","correctness","high","Vary4 geometry","src/backend/cpp/triangle_billiard4.cpp","Linux reconfigure(false) indexes R[i]","Abdul indexed L[i] while looping over R","Changed to R[i] and documented wrong-angle/out-of-bounds risk","gradlew --no-daemon compileJava backendSharedLibrary passed 2026-07-14","Run Vary4 examples that exercise unequal L/R candidate lists"
"BUG-003","fixed","stability","medium","cover artifact loading","src/java/billiards/cover/CoverStuff.java","Linux guards stale stable/triple indexes","Abdul directly called stables.get(index) and triples.get(index)","Added bounds checks and warnings so stale cover files skip bad squares instead of crashing","gradlew --no-daemon compileJava backendSharedLibrary passed 2026-07-14","Open old cover artifacts with mismatched cover/stables/triples files"
"BUG-004","fixed","stability","medium","AutoVary pixel sampling","src/java/billiards/viewer/PolyVaryTask.java; src/java/billiards/viewer/CycleVaryTask.java","Linux checks pixel bounds before PixelReader.getArgb","Abdul read pixels directly and could throw on edge/rounding coordinates","Added image-null and pixel bounds checks; preserve interrupt state on interrupted pixel fetch","gradlew --no-daemon compileJava backendSharedLibrary passed 2026-07-14","Test AutoPolyVary and CycleVary near zoomed/reflected view edges"
"OPT-001","fixed","performance","medium","cover info annotation","src/java/billiards/viewer/CoverWindow.java","Linux builds preInfoMap before redoInfo loop","Abdul rescanned all preInfo lines for every info line","Added HashMap pre-pass so redoInfo is O(n+m)","gradlew --no-daemon compileJava backendSharedLibrary passed 2026-07-14","Run a large cover and confirm cover/info.txt annotations remain identical"
"OPT-002","fixed","performance","medium","code sequence canonicalization","src/backend/cpp/code_sequence.cpp; src/backend/headers/code_sequence.hpp; src/test/headers/code_sequence_test.hpp","Linux has Booth-style least_rotation_index and cached type","Abdul now has O(n) least-rotation canonicalization and cached CodeSequence::type()","Added rotation/reversal regression tests, replaced O(n^2) rotate/reverse scan with O(n) least_rotation_index plus rotated_copy, and cached CodeType on immutable CodeSequence objects","gradlew --no-daemon compileJava backendSharedLibrary testBackend passed 2026-07-14; native testBackend ran 31 cases","Run a few known long code sequence calculations in the UI and compare against prior/runtime output"
"OPT-003","fixed","memory/performance","high","cover evaluator allocation","src/backend/cpp/evaluator.cpp; src/backend/headers/evaluator.hpp; src/backend/cpp/common.cpp; src/backend/cpp/verify.cpp","Linux has Evaluator::thread_local_instance","Abdul now reuses one Evaluator per worker thread and precision in the hot cover call paths","Added thread-local Evaluator factory and replaced three per-square Evaluator constructions; comments explain MPFR/MPFI thread isolation and allocation pressure","gradlew --no-daemon compileJava backendSharedLibrary passed 2026-07-14","Run cover on small and large regions; watch memory plateau after worker thread warmup"
"OPT-004","fixed","performance","medium","AutoVary pixel-reader caching","src/java/billiards/viewer/PolyVaryTask.java; src/java/billiards/viewer/CycleVaryTask.java","Linux caches PixelReader/image dimensions and removes Collections.shuffle","Abdul now snapshots PixelReader/image dimensions once per task and keeps traversal deterministic","Added cached PixelReader initialization on the JavaFX thread, removed per-coordinate Platform.runLater calls, removed coordinate shuffling, and preserved Abdul graceful-cancel behavior","gradlew --no-daemon compileJava backendSharedLibrary passed 2026-07-14","Manual AutoPolyVary/CycleVary test near normal, zoomed, and reflected views; confirm cancel preserves partial progress"
"OPT-005","fixed","performance/stability","medium","render pipeline","src/java/billiards/viewer/Viewer.java; src/java/billiards/viewer/Utils.java","Linux batches redoFromScratch rows and coalesces render futures","Abdul now has row-batched redoFromScratch and guarded render coalescing for the long-lived viewer executor","Replaced per-pixel Future matrix with per-row Future<Color[]> jobs; added cancellable render generations that discard stale redraws before JavaFX commit; snapshots render toggles before drawing; guarded coalescing behind billiards.renderCoalescing/BILLIARDS_RENDER_COALESCING and disabled it when only one worker is configured to avoid same-executor deadlock","gradlew --no-daemon compileJava backendSharedLibrary passed 2026-07-14","Manual rapid zoom/toggle/cover render test; verify no stale image flashes and no missing guide/region/bounds/OBO layers"
"ARCH-001","fixed","concurrency","medium","native DB connection ownership","src/backend/cpp/wrapper.cpp","Linux releases DB connections during expensive compute","Abdul picture-loading entry points now check/save/load with short-lived pooled connections and compute without holding SQLite handles","Split load_picture/load_picture_lr_expando/load_picture_lr into existence check, connection-free compute, short save, and short final load; comments explain AutoVary/DB-pool interaction","gradlew --no-daemon compileJava backendSharedLibrary passed 2026-07-14","Run normal draw/load picture plus concurrent AutoVary storage workers; watch for duplicate-save SQLite conflicts"
"ARCH-002","deferred","data-location","high","database path","src/java/billiards/wrapper/Admin.java","Linux moves database under project/app location","User explicitly does not want to mess with database relocation now","Do not port without migration plan","not applicable","Leave current Abdul database location alone"
